Fx, Fy, Fz, F.Mag
0.04651668,0.007202467,0.3828174,0.3857004,
0.04651668,0.007202467,0.3828174,0.3857004,
0.05830371,0.01213897,0.3897688,0.3942923,
0.05830371,0.01213897,0.3897688,0.3942923,
0.05830371,0.01213897,0.3897688,0.3942923,
0.05830371,0.01213897,0.3897688,0.3942923,
0.05830371,0.01213897,0.3897688,0.3942923,
0.05830371,0.01213897,0.3897688,0.3942923,
0.05830371,0.01213897,0.3897688,0.3942923,
0.05830371,0.01213897,0.3897688,0.3942923,
0.05830371,0.01213897,0.3897688,0.3942923,
0.05830371,0.01213897,0.3897688,0.3942923,
0.05830371,0.01213897,0.3897688,0.3942923,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.04296211,0.00550001,0.4170535,0.4192966,
0.04296211,0.00550001,0.4170535,0.4192966,
0.04296211,0.00550001,0.4170535,0.4192966,
0.04296211,0.00550001,0.4170535,0.4192966,
0.05900833,0.008408597,0.4149722,0.419231,
0.05900833,0.008408597,0.4149722,0.419231,
0.05900833,0.008408597,0.4149722,0.419231,
0.05900833,0.008408597,0.4149722,0.419231,
0.05900833,0.008408597,0.4149722,0.419231,
0.05900833,0.008408597,0.4149722,0.419231,
0.05900833,0.008408597,0.4149722,0.419231,
0.05900833,0.008408597,0.4149722,0.419231,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.1586589,0.01296392,0.4139199,0.4434753,
0.1586589,0.01296392,0.4139199,0.4434753,
0.1586589,0.01296392,0.4139199,0.4434753,
0.1586589,0.01296392,0.4139199,0.4434753,
0.1586589,0.01296392,0.4139199,0.4434753,
0.1586589,0.01296392,0.4139199,0.4434753,
0.1586589,0.01296392,0.4139199,0.4434753,
0.1767235,0.01338506,0.4054515,0.4424944,
0.1767235,0.01338506,0.4054515,0.4424944,
0.1767235,0.01338506,0.4054515,0.4424944,
0.1767235,0.01338506,0.4054515,0.4424944,
0.1767235,0.01338506,0.4054515,0.4424944,
0.1767235,0.01338506,0.4054515,0.4424944,
0.1767235,0.01338506,0.4054515,0.4424944,
0.1767235,0.01338506,0.4054515,0.4424944,
0.1767235,0.01338506,0.4054515,0.4424944,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
