Fx, Fy, Fz, F.Mag
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0.0009541239,-0.0192317,0.03697237,0.04168603,
0.0009541239,-0.0192317,0.03697237,0.04168603,
0.0009541239,-0.0192317,0.03697237,0.04168603,
0.0009541239,-0.0192317,0.03697237,0.04168603,
0.0009541239,-0.0192317,0.03697237,0.04168603,
0.0009541239,-0.0192317,0.03697237,0.04168603,
0.0009541239,-0.0192317,0.03697237,0.04168603,
0.0009541239,-0.0192317,0.03697237,0.04168603,
0.0009541239,-0.0192317,0.03697237,0.04168603,
0.04842045,-0.1464651,0.3297661,0.3640635,
0.04842045,-0.1464651,0.3297661,0.3640635,
0.04842045,-0.1464651,0.3297661,0.3640635,
0.04842045,-0.1464651,0.3297661,0.3640635,
0.04842045,-0.1464651,0.3297661,0.3640635,
0.04842045,-0.1464651,0.3297661,0.3640635,
0.04842045,-0.1464651,0.3297661,0.3640635,
0.04842045,-0.1464651,0.3297661,0.3640635,
0.1317729,-0.193633,0.4339106,0.4930885,
0.1317729,-0.193633,0.4339106,0.4930885,
0.1317729,-0.193633,0.4339106,0.4930885,
0.1317729,-0.193633,0.4339106,0.4930885,
0.1317729,-0.193633,0.4339106,0.4930885,
0.1317729,-0.193633,0.4339106,0.4930885,
0.1317729,-0.193633,0.4339106,0.4930885,
0.1317729,-0.193633,0.4339106,0.4930885,
0.1317729,-0.193633,0.4339106,0.4930885,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
-0.02176998,-0.128137,0.4042748,0.4246542,
-0.02176998,-0.128137,0.4042748,0.4246542,
